"body_acc_x_mean2" "body_acc_x_sd2" "body_acc_y_mean2" "body_acc_y_sd2" "body_acc_z_mean2" "body_acc_z_sd2" "body_gyro_x_mean2" "body_acc_x_sd2.1" "body_gyro_y_mean2" "body_acc_y_sd2.1" "body_gyro_z_mean2" "body_acc_z_sd2.1" "total_acc_x_mean2" "total_acc_x_sd2" "total_acc_y_mean2" "total_acc_y_sd2" "total_acc_z_mean2" "total_acc_z_sd2"
"V1" -0.00412825462692217 0.193241446674593 0.000280071008009904 0.124773415745933 0.00345631551137466 0.107274008438785 -0.00684930354596844 0.193241446674593 0.00811332735835722 0.124773415745933 0.00405989646373711 0.107274008438785 0.80696943970188 0.410606623224668 0.0214022309727352 0.39673142197491 0.0873277791368881 0.343412823876711
"V2" -0.00379588181380087 0.19270480899188 -3.73384508136704e-06 0.124751982177096 0.00311715476396679 0.107826178588807 -0.00520223191885853 0.19270480899188 0.0100843408094898 0.124751982177096 0.00368121635921783 0.107826178588807 0.807249913430615 0.41029743481165 0.0211635940227818 0.396987996881745 0.0870222439040499 0.344136698254829
"V3" -0.00309545853549564 0.193436221996066 -0.000362500778379144 0.123967912233728 0.00333041421670026 0.107964351827408 -0.00609281478993041 0.193436221996066 0.0109538960267279 0.123967912233728 0.00391062995416613 0.107964351827408 0.807898415734026 0.410791405776 0.0208509556228061 0.397131490205342 0.0872691579546898 0.344370554244322
"V4" -0.00209092654574961 0.192200111634846 -0.000410986178388484 0.124594391541516 0.00350730985126702 0.107595698389766 -0.00710169710149141 0.192200111634846 0.00961010364842451 0.124594391541516 0.00422209946494834 0.107595698389766 0.808850962156627 0.410673601617358 0.0208493551548306 0.397469659519991 0.0874798131061734 0.344018879920671
"V5" -0.00136719370757511 0.191463366992215 -9.82844113508108e-05 0.126564119376145 0.00353277764211551 0.107738875107189 -0.00695549875961753 0.191463366992215 0.00869401590471832 0.126564119376145 0.00438124027428158 0.107738875107189 0.809522675038665 0.410730640317799 0.0212094991154141 0.397746165286724 0.0875392205703018 0.343827507400629
"V6" -0.00125824326910068 0.192189827776728 0.000161701289093407 0.126593897479725 0.0041789816843723 0.108392286551898 -0.00722378609375533 0.192189827776728 0.00726151984729071 0.126593897479725 0.00480890163732158 0.108392286551898 0.8095796118816 0.411366641579772 0.0215173031637945 0.39756032113246 0.0882196232749166 0.343693503355364
"V7" -0.00191632533461685 0.191540162530184 0.000502007837147199 0.125552568448479 0.0044849152705954 0.107454802831354 -0.00743865305561899 0.191540162530184 0.0042734322467658 0.125552568448479 0.00484053721242156 0.107454802831354 0.808869589774434 0.411024374732222 0.0219056478001127 0.397081161883313 0.0885601022804702 0.343134122255095
"V8" -0.00224086798056996 0.19067173641153 5.44244770974366e-05 0.125661056310097 0.004250218421077 0.107290573087117 -0.00764115366111874 0.19067173641153 0.00220808179515866 0.125661056310097 0.0054631343909277 0.107290573087117 0.808493231294296 0.410493205207833 0.0215061860150121 0.397548536040227 0.0883603960169502 0.342856069119907
"V9" -0.00151521594614234 0.190518785696768 -0.000592852022285853 0.125038657404343 0.00391134067118 0.108839935445054 -0.00691868932241479 0.190518785696768 0.00177184496705634 0.125038657404343 0.00636713260779688 0.108839935445054 0.809167221961062 0.410756435147135 0.0209069866007632 0.398009527763377 0.0880570483116361 0.343307000349487
"V10" -0.000949384160604233 0.193149611926953 -0.00111975114393261 0.124426296375178 0.00353478103231956 0.111311436456257 -0.00492735593498673 0.193149611926953 0.00364837239036363 0.124426296375178 0.00586140462917507 0.111311436456257 0.809681597668896 0.412280873037292 0.020427976461908 0.398064043685032 0.0877166294659229 0.344245703382378
"V11" -0.000336150284427818 0.194313895558634 -0.00160094721908253 0.125257066533851 0.00366458918760462 0.110555769620153 -0.00450844769128119 0.194313895558634 0.00559151057868796 0.125257066533851 0.00529677288978716 0.110555769620153 0.810243635322362 0.413096948055529 0.0199943209373726 0.398563328409258 0.0878832428449044 0.343706577496852
"V12" 0.000723808281200214 0.195587214923584 -0.00129656730885154 0.125107249594945 0.00400994665383367 0.10860140201891 -0.00525273859280707 0.195587214923584 0.00248587899632081 0.125107249594945 0.0049643593636955 0.10860140201891 0.811252747338907 0.414206693182997 0.0203457227330692 0.398468649249247 0.0882661101539994 0.342553925692239
"V13" 0.00168855100341792 0.197884544329153 -0.00159148904903232 0.123439563164521 0.00406673470264463 0.108682804080665 -0.00482128156384404 0.197884544329153 -0.0020807255142609 0.123439563164521 0.0050390781125185 0.108682804080665 0.812167121959491 0.415743979704836 0.0200971399144431 0.398130236608675 0.0883611571416691 0.342260065493905
